num_cards,mcts_heads,player_0_heads,winner
5,42,73,0
5,23,67,0
5,42,74,0
5,25,66,0
5,20,72,0
5,19,67,0
5,53,66,0
5,31,66,0
5,28,67,0
5,45,66,0
5,59,67,0
5,58,66,0
5,27,71,0
5,36,66,0
5,38,66,0
5,35,67,0
5,28,77,0
5,43,67,0
5,42,67,0
5,44,67,0
5,62,66,0
5,40,67,0
5,34,66,0
5,56,66,0
5,38,66,0
5,32,66,0
5,38,67,0
5,53,68,0
5,33,68,0
5,66,52,1
5,35,71,0
5,52,66,0
5,47,66,0
5,29,68,0
5,47,69,0
5,34,72,0
5,23,67,0
5,24,66,0
5,35,66,0
5,70,25,1
5,52,68,0
5,22,68,0
5,38,66,0
5,22,69,0
5,46,70,0
5,29,70,0
5,48,66,0
5,43,66,0
5,33,66,0
5,20,69,0
5,38,67,0
5,43,71,0
5,30,66,0
5,26,67,0
5,36,67,0
5,55,66,0
5,31,67,0
5,26,67,0
5,43,67,0
5,41,66,0
5,38,68,0
5,6,76,0
5,31,67,0
5,43,72,0
5,45,66,0
5,66,63,1
5,55,69,0
5,40,74,0
5,25,67,0
5,42,67,0
5,29,69,0
5,48,73,0
5,53,66,0
5,38,68,0
5,50,70,0
5,42,66,0
5,29,68,0
5,58,71,0
5,37,67,0
5,28,67,0
5,28,70,0
5,41,67,0
5,21,66,0
5,26,67,0
5,23,67,0
5,59,70,0
5,43,66,0
5,29,66,0
5,49,66,0
5,41,68,0
5,30,66,0
5,43,68,0
5,28,66,0
5,26,66,0
5,41,68,0
5,33,67,0
5,32,71,0
5,48,74,0
5,38,68,0
5,42,66,0
5,27,66,0
5,26,68,0
5,66,65,1
5,23,66,0
5,47,66,0
5,25,67,0
5,45,69,0
5,41,67,0
5,31,68,0
5,30,66,0
5,50,67,0
5,34,74,0
5,40,68,0
5,26,76,0
5,25,67,0
5,57,66,0
5,33,77,0
5,40,66,0
5,57,67,0
5,66,57,1
5,38,68,0
5,24,68,0
5,27,74,0
5,67,50,1
5,40,67,0
5,52,67,0
5,28,66,0
5,59,66,0
5,44,67,0
5,59,68,0
5,18,77,0
5,27,67,0
5,30,66,0
5,34,67,0
5,30,66,0
5,21,66,0
5,26,68,0
5,33,68,0
5,52,75,0
5,22,66,0
5,64,66,0
5,47,67,0
5,54,66,0
5,28,66,0
5,39,67,0
5,35,66,0
5,33,68,0
5,70,61,1
5,42,70,0
5,66,65,1
5,29,67,0
5,34,75,0
5,22,76,0
5,39,66,0
5,42,76,0
5,27,66,0
5,33,67,0
5,55,68,0
5,39,66,0
5,38,70,0
5,32,67,0
5,28,72,0
5,39,74,0
5,31,67,0
5,47,71,0
5,47,71,0
5,40,66,0
5,66,55,1
5,29,66,0
5,23,66,0
5,66,56,1
5,44,67,0
5,51,66,0
5,30,66,0
5,59,66,0
5,34,66,0
5,22,77,0
5,28,68,0
5,56,66,0
5,66,54,1
5,33,66,0
5,40,66,0
5,36,69,0
5,23,67,0
5,19,66,0
5,45,67,0
5,55,68,0
5,31,67,0
5,34,66,0
5,25,66,0
5,31,67,0
5,34,71,0
5,23,75,0
5,25,69,0
5,45,68,0
5,17,68,0
5,52,75,0
5,31,66,0
5,31,66,0
5,29,67,0
5,36,66,0
5,37,67,0
5,45,67,0
5,42,74,0
5,32,67,0
5,37,67,0
5,30,66,0
5,56,66,0
5,30,69,0
5,14,66,0
5,30,67,0
5,40,67,0
5,30,66,0
5,62,66,0
5,53,67,0
5,36,68,0
5,54,68,0
5,35,66,0
5,45,67,0
5,58,66,0
5,42,67,0
5,23,66,0
5,26,70,0
5,27,66,0
5,41,68,0
5,27,69,0
5,41,72,0
5,10,67,0
5,35,66,0
5,51,67,0
5,40,69,0
5,45,67,0
5,56,67,0
5,32,66,0
5,27,67,0
5,56,67,0
5,48,66,0
5,22,78,0
5,42,67,0
5,39,66,0
5,35,67,0
5,34,73,0
5,43,73,0
5,41,66,0
5,44,67,0
5,55,66,0
5,29,66,0
5,34,68,0
5,27,69,0
5,52,66,0
5,38,67,0
5,60,76,0
5,33,66,0
5,46,66,0
5,52,66,0
5,45,71,0
5,36,67,0
5,50,66,0
5,20,66,0
5,41,67,0
5,47,66,0
5,41,66,0
5,63,68,0
5,43,70,0
5,57,66,0
5,26,67,0
5,37,66,0
5,24,66,0
5,26,66,0
5,20,68,0
5,32,72,0
5,42,66,0
5,31,71,0
5,31,67,0
5,23,67,0
5,58,69,0
5,56,68,0
5,34,73,0
5,26,68,0
5,26,69,0
5,29,68,0
5,23,66,0
5,38,72,0
5,39,68,0
5,47,68,0
5,48,67,0
5,33,69,0
5,65,69,0
5,27,67,0
5,25,70,0
5,29,67,0
5,26,70,0
5,34,78,0
5,41,66,0
5,42,72,0
5,46,66,0
5,43,69,0
5,38,67,0
5,49,67,0
5,25,66,0
5,33,66,0
5,23,69,0
5,67,61,1
5,44,70,0
5,25,66,0
5,45,69,0
5,43,67,0
5,41,69,0
5,27,67,0
5,32,77,0
5,40,68,0
5,15,68,0
5,24,67,0
5,48,71,0
5,46,68,0
5,42,66,0
5,50,70,0
5,64,66,0
5,38,66,0
5,33,67,0
5,49,67,0
5,21,67,0
5,31,68,0
5,25,66,0
5,45,66,0
5,16,66,0
5,29,69,0
5,36,67,0
5,32,73,0
5,20,66,0
5,34,66,0
5,30,67,0
5,60,66,0
5,40,66,0
5,35,66,0
5,14,66,0
5,34,67,0
5,39,67,0
5,51,66,0
5,54,66,0
5,47,66,0
5,19,66,0
5,31,68,0
5,56,66,0
5,25,67,0
5,57,68,0
5,57,66,0
5,35,67,0
5,24,68,0
5,26,71,0
5,37,66,0
5,27,66,0
5,51,66,0
5,33,70,0
5,35,75,0
5,34,67,0
5,25,75,0
5,25,66,0
5,32,67,0
5,21,66,0
5,33,67,0
5,33,66,0
5,26,68,0
5,23,68,0
5,39,66,0
5,66,55,1
5,19,67,0
5,14,66,0
5,32,70,0
5,68,53,1
5,23,66,0
5,34,68,0
5,18,66,0
5,39,67,0
5,27,66,0
5,24,73,0
5,20,68,0
5,52,66,0
5,25,71,0
5,32,69,0
5,33,67,0
5,28,66,0
5,49,69,0
5,35,66,0
5,28,69,0
5,36,68,0
5,50,73,0
5,20,66,0
5,47,67,0
5,30,68,0
5,16,67,0
5,54,68,0
5,54,66,0
5,27,67,0
5,38,67,0
5,29,67,0
5,25,66,0
5,26,67,0
5,28,70,0
5,41,66,0
5,25,66,0
5,38,76,0
5,28,67,0
5,66,57,1
5,41,67,0
5,51,69,0
5,57,71,0
5,40,66,0
5,64,67,0
5,33,67,0
5,56,66,0
5,36,74,0
5,28,66,0
5,42,73,0
5,29,66,0
5,30,70,0
5,53,68,0
5,50,66,0
5,66,61,1
5,25,68,0
5,43,66,0
5,34,68,0
5,43,73,0
5,25,66,0
5,38,71,0
5,16,67,0
5,58,66,0
5,50,66,0
5,32,66,0
5,66,60,1
5,24,67,0
5,35,66,0
5,32,67,0
5,44,66,0
5,20,66,0
5,13,66,0
5,31,67,0
5,28,66,0
5,32,76,0
5,38,68,0
5,36,67,0
5,28,68,0
5,55,70,0
5,39,73,0
5,17,68,0
5,33,67,0
5,57,66,0
5,54,66,0
5,57,68,0
5,63,68,0
5,29,66,0
5,20,67,0
5,38,72,0
5,40,66,0
5,61,69,0
5,40,67,0
5,40,71,0
5,20,67,0
5,62,66,0
5,34,66,0
5,34,66,0
5,66,62,1
5,34,67,0
5,62,67,0
5,27,66,0
5,41,67,0
5,24,66,0
5,23,70,0
5,25,66,0
5,39,66,0
5,58,67,0
5,22,68,0
5,31,67,0
5,21,67,0
5,25,68,0
5,45,69,0
5,32,68,0
5,22,70,0
5,40,72,0
5,19,66,0
5,30,67,0
5,25,66,0
5,44,68,0
5,19,66,0
5,44,73,0
5,61,66,0
5,53,66,0
5,55,68,0
5,58,66,0
5,4,69,0
5,62,74,0
5,68,50,1
5,44,74,0
5,47,66,0
5,54,66,0
5,28,66,0
5,59,71,0
5,66,65,1
5,54,66,0
5,35,68,0
5,31,72,0
5,29,66,0
5,34,70,0
5,23,68,0
5,18,71,0
5,53,69,0
5,29,66,0
5,28,68,0
5,45,68,0
5,41,67,0
5,26,70,0
5,40,66,0
5,44,66,0
5,44,66,0
5,32,70,0
5,40,66,0
5,33,66,0
5,37,66,0
5,56,69,0
5,24,67,0
5,43,76,0
5,17,66,0
5,28,66,0
5,42,67,0
5,18,66,0
5,40,66,0
5,23,66,0
5,38,72,0
5,28,71,0
5,66,69,0
5,42,67,0
5,43,67,0
5,33,68,0
5,51,67,0
5,34,73,0
5,34,67,0
5,39,66,0
5,20,66,0
5,31,69,0
5,35,67,0
5,38,68,0
5,12,67,0
5,24,72,0
5,25,66,0
5,27,68,0
5,34,75,0
5,50,68,0
5,33,76,0
5,25,66,0
5,56,67,0
5,39,66,0
5,50,68,0
5,17,72,0
5,41,68,0
5,29,66,0
5,43,66,0
5,48,67,0
5,26,72,0
5,45,67,0
5,29,73,0
5,24,68,0
5,42,74,0
5,18,68,0
5,52,69,0
5,28,67,0
5,49,69,0
5,37,71,0
5,37,66,0
5,74,50,1
5,53,66,0
5,33,68,0
5,34,67,0
5,35,67,0
5,27,66,0
5,48,68,0
5,61,67,0
5,35,66,0
5,34,66,0
5,35,66,0
5,52,66,0
5,66,59,1
5,27,71,0
5,45,66,0
5,37,66,0
5,48,68,0
5,34,68,0
5,46,66,0
5,50,67,0
5,59,66,0
5,66,58,1
5,54,67,0
5,37,67,0
5,14,68,0
5,26,67,0
5,67,59,1
5,40,66,0
5,39,67,0
5,22,73,0
5,40,66,0
5,45,66,0
5,27,69,0
5,61,66,0
5,31,66,0
5,34,73,0
5,17,75,0
5,67,61,1
5,37,67,0
5,37,68,0
5,37,67,0
5,19,66,0
5,37,67,0
5,37,68,0
5,36,76,0
5,23,72,0
5,55,67,0
5,30,66,0
5,21,70,0
5,33,66,0
5,33,66,0
5,32,67,0
5,44,66,0
5,24,67,0
5,16,67,0
5,25,70,0
5,12,68,0
5,19,68,0
5,37,66,0
5,19,67,0
5,36,69,0
5,30,66,0
5,45,66,0
5,66,39,1
5,45,75,0
5,41,67,0
5,21,71,0
5,46,67,0
5,41,67,0
5,40,69,0
5,27,67,0
5,48,67,0
5,37,66,0
5,41,69,0
5,25,69,0
5,30,66,0
5,41,68,0
5,40,66,0
5,67,64,1
5,29,70,0
5,33,67,0
5,44,66,0
5,51,67,0
5,66,60,1
5,30,71,0
5,22,67,0
5,43,66,0
5,25,70,0
5,42,72,0
5,32,66,0
5,20,70,0
5,59,67,0
5,35,66,0
5,45,68,0
5,46,67,0
5,26,66,0
5,41,70,0
5,46,66,0
5,25,68,0
5,28,66,0
5,49,67,0
5,47,71,0
5,34,67,0
5,33,68,0
5,40,70,0
5,19,73,0
5,43,66,0
5,40,66,0
5,47,67,0
5,54,66,0
5,21,66,0
5,53,66,0
5,60,66,0
5,67,61,1
5,40,66,0
5,38,73,0
5,38,66,0
5,52,68,0
5,34,66,0
5,34,73,0
5,20,68,0
5,23,66,0
5,15,72,0
5,16,74,0
5,33,72,0
5,44,68,0
5,28,66,0
5,44,66,0
5,22,66,0
5,46,66,0
5,15,66,0
5,60,68,0
5,44,75,0
5,26,66,0
5,52,68,0
5,45,69,0
5,20,67,0
5,37,69,0
5,44,70,0
5,32,68,0
5,37,66,0
5,48,67,0
5,37,66,0
5,37,67,0
5,33,70,0
5,22,67,0
5,29,66,0
5,35,71,0
5,39,67,0
5,23,67,0
5,33,67,0
5,28,69,0
5,43,68,0
5,59,67,0
5,35,66,0
5,29,67,0
5,40,68,0
5,36,67,0
5,33,67,0
5,24,68,0
5,31,66,0
5,39,67,0
5,66,49,1
5,28,67,0
5,37,66,0
5,49,66,0
5,46,68,0
5,30,71,0
5,26,70,0
5,40,70,0
5,45,68,0
5,21,68,0
5,53,66,0
5,40,66,0
5,37,67,0
5,33,68,0
5,66,58,1
5,27,67,0
5,67,53,1
5,32,66,0
5,36,66,0
5,51,75,0
5,52,69,0
5,33,66,0
5,36,66,0
5,32,69,0
5,42,66,0
5,45,66,0
5,34,75,0
5,16,67,0
5,22,70,0
5,31,70,0
5,40,67,0
5,43,67,0
5,45,66,0
5,51,74,0
5,37,68,0
5,38,67,0
5,53,66,0
5,57,72,0
5,22,71,0
5,66,53,1
5,25,69,0
5,28,66,0
5,30,68,0
5,38,67,0
5,27,71,0
5,27,67,0
5,37,66,0
5,17,66,0
5,31,71,0
5,28,68,0
5,28,66,0
5,37,74,0
5,22,67,0
5,32,77,0
5,37,66,0
5,28,66,0
5,42,69,0
5,49,68,0
5,36,69,0
5,34,66,0
5,44,67,0
5,30,68,0
5,34,66,0
5,43,67,0
5,46,67,0
5,43,66,0
5,48,67,0
5,34,74,0
5,29,66,0
5,28,67,0
5,22,71,0
5,28,67,0
5,23,73,0
5,52,67,0
5,48,67,0
5,25,66,0
5,41,69,0
5,25,68,0
5,26,66,0
5,22,67,0
5,33,68,0
5,39,66,0
5,37,73,0
5,37,69,0
5,32,66,0
5,21,67,0
5,41,68,0
5,56,73,0
5,30,69,0
5,33,66,0
5,32,68,0
5,58,66,0
5,42,68,0
5,48,67,0
5,54,67,0
5,41,71,0
5,31,74,0
5,33,66,0
5,59,66,0
5,16,68,0
5,17,68,0
5,31,66,0
5,34,69,0
5,60,66,0
5,31,70,0
5,24,66,0
5,37,69,0
5,58,66,0
5,29,66,0
5,50,73,0
5,31,69,0
5,33,66,0
5,19,71,0
5,46,74,0
5,22,67,0
5,27,70,0
5,61,72,0
5,48,66,0
5,30,66,0
5,52,76,0
5,17,71,0
5,69,54,1
5,19,67,0
5,44,70,0
5,51,79,0
5,37,74,0
5,58,70,0
5,24,77,0
5,43,68,0
5,40,66,0
5,64,67,0
5,16,66,0
5,32,66,0
5,23,68,0
5,24,69,0
5,18,67,0
5,74,59,1
5,37,68,0
5,57,66,0
5,62,68,0
5,47,67,0
5,40,66,0
5,13,67,0
5,43,73,0
5,38,67,0
5,30,68,0
5,61,66,0
5,43,67,0
5,45,66,0
5,48,66,0
5,37,74,0
5,33,68,0
5,36,73,0
5,36,68,0
5,33,66,0
5,44,68,0
5,33,66,0
5,22,66,0
5,49,75,0
5,37,66,0
5,47,68,0
5,43,66,0
5,39,69,0
5,37,67,0
5,61,73,0
5,49,66,0
5,11,67,0
5,42,71,0
5,25,67,0
5,18,67,0
5,50,67,0
5,53,66,0
5,48,66,0
5,36,66,0
