num_cards,mcts_heads,player_0_heads,player_1_heads,winner
5,27,36,66,0
5,35,58,70,0
5,45,66,36,2
5,46,74,57,0
5,61,67,65,0
5,72,24,18,2
5,65,61,71,1
5,32,18,67,1
5,26,43,68,0
5,55,67,65,0
5,51,72,72,0
5,15,51,74,0
5,40,59,67,0
5,14,78,55,0
5,29,32,70,0
5,30,38,68,0
5,64,71,65,0
5,29,72,69,0
5,28,67,25,2
5,33,40,70,0
5,17,49,71,0
5,35,35,74,-1
5,40,43,71,0
5,28,47,66,0
5,22,70,62,0
5,13,51,71,0
5,62,56,67,1
5,38,68,52,0
5,27,46,68,0
5,17,45,67,0
5,42,47,67,0
5,38,72,34,2
5,50,27,71,1
5,71,44,27,2
5,37,66,48,0
5,54,66,62,0
5,28,71,61,0
5,63,32,66,1
5,67,62,57,2
5,43,73,52,0
5,51,66,67,0
5,39,59,67,0
5,50,41,67,1
5,21,74,58,0
5,20,66,34,0
5,24,45,67,0
5,20,57,66,0
5,30,56,68,0
5,34,42,80,0
5,22,66,45,0
5,66,58,56,2
5,44,59,70,0
5,56,70,66,0
5,49,74,62,0
5,36,67,50,0
5,64,72,37,2
5,32,54,72,0
5,55,69,55,-1
5,51,47,66,1
5,17,74,54,0
5,38,65,71,0
5,26,38,69,0
5,63,68,40,2
5,40,68,62,0
5,26,21,70,1
5,19,67,50,0
5,38,59,73,0
5,30,72,24,2
5,20,66,50,0
5,21,66,49,0
5,17,76,45,0
5,35,71,50,0
5,49,52,66,0
5,25,69,44,0
5,35,67,59,0
5,31,38,67,0
5,76,55,56,1
5,23,76,37,0
5,38,31,66,1
5,18,29,68,0
5,18,37,67,0
5,19,68,26,0
5,27,47,68,0
5,43,33,68,1
5,21,70,47,0
5,34,45,68,0
5,32,55,70,0
5,69,56,65,1
5,16,67,47,0
5,38,50,66,0
5,42,60,68,0
5,33,22,68,1
5,33,29,70,1
5,28,67,67,0
5,60,40,67,1
5,64,68,63,2
5,57,26,77,1
5,28,61,76,0
5,28,67,47,0
5,26,71,64,0
5,44,33,66,1
5,30,47,69,0
5,49,67,62,0
5,49,75,39,2
5,27,77,38,0
5,26,10,67,1
5,32,71,65,0
5,35,32,68,1
5,24,66,27,0
5,40,27,66,1
5,54,43,66,1
5,38,54,67,0
5,50,34,70,1
5,6,71,33,0
5,27,67,61,0
5,43,64,66,0
5,12,41,67,0
5,32,45,69,0
5,54,54,69,-1
5,46,71,62,0
5,27,67,45,0
5,47,67,64,0
5,38,70,49,0
5,46,64,67,0
5,41,70,54,0
5,51,61,66,0
5,34,74,50,0
5,25,68,32,0
5,33,76,50,0
5,53,31,71,1
5,50,76,57,0
5,46,76,60,0
5,12,67,25,0
5,18,62,66,0
5,57,65,70,0
5,23,49,66,0
5,34,70,44,0
5,36,40,70,0
5,19,50,75,0
5,48,35,69,1
5,32,70,34,0
5,40,65,66,0
5,49,57,71,0
5,56,56,66,-1
5,25,67,57,0
5,31,67,45,0
5,55,65,69,0
5,41,71,36,2
5,33,70,25,2
5,56,71,38,2
5,6,70,20,0
5,57,58,69,0
5,29,40,67,0
5,30,68,52,0
5,62,66,49,2
5,36,66,33,2
5,44,67,40,2
5,67,59,70,1
5,34,41,69,0
5,31,68,37,0
5,20,44,69,0
5,53,39,67,1
5,30,69,45,0
5,36,70,43,0
5,11,47,66,0
5,34,41,70,0
5,14,33,71,0
5,26,53,66,0
5,9,67,43,0
5,27,60,66,0
5,20,76,46,0
5,21,10,72,1
5,59,69,44,2
5,22,60,73,0
5,35,72,30,2
5,24,66,20,2
5,31,31,69,-1
5,53,42,66,1
5,71,20,23,1
5,68,33,53,1
5,41,71,57,0
5,71,48,59,1
5,61,58,69,1
5,14,50,69,0
5,28,27,78,1
5,19,68,24,0
5,48,60,67,0
5,22,41,67,0
5,50,66,56,0
5,42,26,70,1
5,73,50,66,1
5,21,72,59,0
5,38,70,51,0
5,29,48,68,0
5,24,51,71,0
5,36,74,61,0
5,31,66,53,0
5,47,74,39,2
5,29,67,15,2
5,25,69,72,0
5,29,70,44,0
5,37,48,67,0
5,19,66,47,0
5,63,63,73,-1
5,36,66,64,0
5,20,67,42,0
5,30,69,34,0
5,38,63,74,0
5,21,31,72,0
5,41,59,69,0
5,51,38,74,1
5,48,37,71,1
5,39,67,54,0
5,24,62,68,0
5,46,32,74,1
5,66,50,51,1
5,25,43,67,0
5,27,73,24,2
5,43,64,75,0
5,56,16,66,1
5,57,48,72,1
5,67,72,57,2
5,13,36,67,0
5,21,66,24,0
5,73,51,40,2
5,23,67,32,0
5,7,23,67,0
5,23,40,70,0
5,45,67,30,2
5,26,42,67,0
5,52,67,54,0
5,11,32,66,0
5,40,27,67,1
5,18,30,69,0
5,41,56,71,0
5,64,62,69,1
5,36,66,63,0
5,65,51,68,1
5,34,63,70,0
5,51,67,59,0
5,25,71,60,0
5,34,67,31,2
5,39,40,66,0
5,20,67,29,0
5,48,60,69,0
5,42,35,66,1
5,43,32,67,1
5,55,76,57,0
5,33,60,73,0
5,59,24,68,1
5,58,65,74,0
5,47,45,68,1
5,37,58,66,0
5,59,49,67,1
5,23,30,67,0
5,63,58,67,1
5,60,32,75,1
5,24,30,68,0
5,34,66,46,0
5,14,49,66,0
5,58,59,67,0
5,63,70,58,2
5,23,68,56,0
5,51,66,74,0
5,28,50,67,0
5,43,67,60,0
5,19,69,44,0
5,45,63,66,0
5,61,66,55,2
5,50,44,69,1
5,42,38,77,1
5,67,55,55,-1
5,23,76,72,0
5,14,76,61,0
5,40,62,66,0
5,51,71,62,0
5,41,66,64,0
5,30,55,80,0
5,66,64,78,1
5,63,58,67,1
5,47,51,66,0
5,11,56,73,0
5,34,67,45,0
5,31,66,34,0
5,18,69,26,0
5,38,65,66,0
5,12,67,37,0
5,70,55,41,2
5,67,56,57,1
5,24,68,52,0
5,51,43,72,1
5,61,66,44,2
5,37,67,43,0
5,37,67,30,2
5,30,70,25,2
5,6,67,58,0
5,18,18,66,-1
5,26,67,72,0
5,39,66,64,0
5,25,72,40,0
5,32,49,66,0
5,52,66,64,0
5,46,66,30,2
5,33,62,67,0
5,16,48,68,0
5,16,52,69,0
5,52,84,63,0
5,73,54,47,2
5,21,67,51,0
5,28,71,47,0
5,39,68,49,0
5,17,69,17,-1
5,45,50,74,0
5,47,65,68,0
5,48,54,69,0
5,33,64,66,0
5,23,37,67,0
5,59,70,44,2
5,21,73,54,0
5,38,66,65,0
5,38,76,39,0
5,34,38,66,0
5,32,52,66,0
5,31,66,35,0
5,65,67,69,0
5,40,44,66,0
5,41,53,67,0
5,30,50,68,0
5,22,49,72,0
5,22,67,22,-1
5,40,66,65,0
5,58,68,51,2
5,39,76,54,0
5,11,67,41,0
5,47,45,71,1
5,29,66,50,0
5,31,67,58,0
5,33,69,44,0
5,38,32,70,1
5,15,61,73,0
5,25,71,43,0
5,12,44,66,0
5,30,77,30,-1
5,22,66,65,0
5,23,67,61,0
5,22,61,72,0
5,26,68,41,0
5,37,64,67,0
5,29,55,67,0
5,40,69,42,0
5,47,73,62,0
5,28,39,66,0
5,32,66,37,0
5,52,61,67,0
5,37,78,45,0
5,53,78,20,2
5,64,66,44,2
5,61,51,67,1
5,18,67,52,0
5,17,70,26,0
5,47,37,73,1
5,53,36,67,1
5,44,78,30,2
5,39,30,68,1
5,28,63,70,0
5,11,68,27,0
5,66,27,45,1
5,49,38,72,1
5,44,66,48,0
5,63,76,53,2
5,29,67,33,0
