num_cards,mcts_heads,player_0_heads,player_1_heads,player_2_heads,winner
5,52,35,74,49,1
5,43,66,65,33,3
5,72,48,32,20,3
5,73,58,47,54,2
5,64,23,51,67,1
5,59,47,69,59,1
5,26,43,53,70,0
5,73,65,61,38,3
5,28,31,67,37,0
5,45,70,40,40,-1
5,38,64,68,53,0
5,20,69,40,43,0
5,26,21,35,73,1
5,18,35,19,71,0
5,32,46,30,79,2
5,41,71,55,31,3
5,70,29,63,25,3
5,29,56,74,32,0
5,21,39,34,73,0
5,39,39,42,71,-1
5,35,68,30,51,2
5,39,48,70,58,0
5,45,67,44,8,3
5,31,17,73,23,1
5,22,39,66,33,0
5,39,10,40,67,1
5,11,27,68,49,0
5,38,54,55,73,0
5,46,47,58,67,0
5,11,60,66,53,0
5,31,51,49,68,0
5,73,52,37,30,3
5,35,42,51,75,0
5,26,58,13,78,2
5,36,27,69,46,1
5,22,53,40,70,0
5,44,75,53,63,0
5,30,37,67,33,0
5,53,27,77,31,1
5,36,42,42,66,0
5,62,39,67,60,1
5,19,47,70,72,0
5,55,70,56,50,3
5,24,66,50,38,0
5,72,58,38,45,2
5,44,54,47,66,0
5,68,21,57,60,1
5,52,51,67,59,1
5,46,43,72,73,1
5,67,53,53,74,-1
5,69,58,38,51,2
5,60,46,75,46,-1
5,46,53,70,36,3
5,32,23,74,49,1
5,35,59,68,67,0
5,46,68,52,67,0
5,35,69,36,54,0
5,31,60,40,67,0
5,30,54,75,56,0
5,31,37,85,52,0
5,37,53,70,40,0
5,28,67,44,23,3
5,30,42,77,43,0
5,36,60,47,75,0
5,16,38,29,68,0
5,66,49,59,74,1
5,72,59,42,67,2
5,42,66,63,48,0
5,30,41,32,74,0
5,63,46,63,66,1
5,12,39,24,72,0
5,59,69,44,45,2
5,40,24,47,67,1
5,18,61,76,37,0
5,29,73,26,52,2
5,42,51,29,66,2
5,20,35,55,69,0
5,44,45,71,56,0
5,54,73,67,62,0
5,44,78,51,41,3
5,63,66,65,45,3
5,32,58,71,36,0
5,57,66,60,47,3
5,38,29,67,28,3
5,41,71,63,22,3
5,49,52,68,23,3
5,26,65,50,86,0
5,30,31,60,69,0
5,35,67,42,24,3
5,28,58,71,33,0
5,69,56,45,54,2
5,16,66,50,47,0
5,29,65,71,58,0
5,53,62,58,73,0
5,41,68,40,51,2
5,50,67,44,61,2
5,43,67,48,70,0
5,37,54,27,72,2
5,42,31,37,70,1
5,47,11,71,43,1
5,55,67,57,56,0
5,42,67,59,45,0
5,24,26,14,68,2
5,36,39,68,49,0
5,44,35,75,43,1
5,54,11,41,70,1
5,38,73,54,27,3
5,35,64,69,46,0
5,31,21,20,66,2
5,24,69,15,51,2
5,16,67,31,37,0
5,58,51,68,32,3
5,42,40,73,38,3
5,40,57,66,47,0
5,17,66,26,42,0
5,33,38,69,38,0
5,41,55,66,60,0
5,44,41,58,71,1
5,33,57,40,67,0
5,43,61,46,71,0
5,18,31,68,60,0
5,57,31,53,80,1
5,32,27,62,69,1
5,49,35,70,18,3
5,29,68,42,34,0
5,83,62,35,43,2
5,36,23,71,52,1
5,58,68,67,73,0
5,29,66,61,50,0
5,29,38,70,43,0
5,58,67,56,64,2
5,40,66,60,21,3
5,48,70,49,64,0
5,42,37,70,59,1
5,36,73,67,59,0
5,61,63,63,66,0
5,24,58,67,48,0
5,62,47,53,67,1
5,30,70,44,25,3
5,41,42,69,67,0
5,70,48,51,57,1
5,33,33,57,68,-1
5,21,45,47,72,0
5,22,44,22,68,-1
5,27,40,68,21,3
5,32,32,21,66,2
5,58,53,65,66,1
5,37,45,69,40,0
5,15,47,69,26,0
5,31,31,24,73,2
5,34,69,52,58,0
5,29,55,72,35,0
5,30,38,48,68,0
5,26,72,37,42,0
5,40,24,49,67,1
5,67,65,30,50,2
5,6,77,20,51,0
5,17,27,78,34,0
5,22,72,38,52,0
5,66,9,52,44,1
5,25,22,69,30,1
5,37,48,67,57,0
5,4,16,66,19,0
5,45,66,57,27,3
5,32,46,71,39,0
5,27,55,73,59,0
5,23,72,42,64,0
5,38,19,66,34,1
5,57,37,66,45,1
5,44,62,54,66,0
5,22,69,67,59,0
5,33,67,59,57,0
5,53,52,41,72,2
5,58,34,74,60,1
5,61,43,41,69,2
5,43,54,69,52,0
5,66,64,52,48,3
5,61,11,67,45,1
5,34,21,69,30,1
5,6,33,74,60,0
5,55,67,35,66,2
5,36,40,71,65,0
5,39,49,66,63,0
5,37,66,46,48,0
5,29,61,66,74,0
5,43,70,46,49,0
5,26,37,58,69,0
5,42,55,72,18,3
5,74,50,18,41,2
