num_cards,mcts_heads,player_0_heads,player_1_heads,player_2_heads,player_3_heads,winner
5,50,74,29,61,61,2
5,13,66,61,57,58,0
5,22,14,51,67,63,1
5,13,47,36,66,50,0
5,30,66,44,33,57,0
5,25,39,68,26,57,0
5,52,46,66,36,29,4
5,14,60,17,10,68,3
5,51,66,30,62,26,4
5,69,39,54,24,58,3
5,6,57,29,67,49,0
5,49,34,68,50,75,1
5,17,9,82,16,37,1
5,40,42,23,77,9,4
5,42,53,33,76,56,2
5,35,52,38,81,50,0
5,37,19,35,54,76,1
5,38,38,34,71,50,2
5,66,15,44,47,29,1
5,17,71,47,29,32,0
5,51,67,50,34,46,3
5,20,23,27,40,77,0
5,35,41,40,73,33,4
5,60,57,74,25,33,3
5,26,66,26,41,26,-1
5,55,73,34,61,50,2
5,32,41,50,66,27,4
5,46,26,68,26,67,-1
5,33,72,40,51,26,4
5,24,40,66,61,45,0
5,56,25,66,48,43,1
5,21,34,14,69,69,2
5,53,38,66,57,30,4
5,45,62,48,31,71,3
5,50,19,58,21,68,1
5,28,66,51,54,26,4
5,47,58,48,69,58,0
5,48,32,38,80,17,4
5,73,54,13,7,46,3
5,63,49,42,73,50,2
5,44,68,44,45,48,-1
5,59,70,58,68,43,4
5,18,58,46,38,74,0
5,9,73,26,37,42,0
5,66,42,38,36,54,3
5,48,46,68,51,49,1
5,18,67,47,15,45,3
5,20,57,69,72,42,0
5,53,50,41,62,71,2
5,33,56,34,69,36,0
5,58,74,59,40,51,3
5,26,69,21,60,42,2
5,36,72,23,68,35,2
5,12,34,48,69,15,0
5,25,68,23,31,69,2
5,29,71,37,53,32,0
5,22,29,66,57,50,0
5,44,39,68,24,58,3
5,51,67,78,41,62,3
5,33,51,49,66,22,4
5,66,40,63,26,52,3
5,24,26,52,18,75,3
5,76,54,44,63,27,4
5,55,43,40,48,77,2
5,20,67,42,51,40,0
5,29,70,34,45,22,4
5,21,65,80,27,63,0
5,48,38,30,70,42,2
5,36,70,47,39,40,0
5,45,73,34,48,43,2
5,27,31,37,47,66,0
5,42,61,85,57,33,4
5,54,50,56,48,72,3
5,53,13,39,39,73,1
5,29,39,67,63,66,0
5,32,30,69,33,61,1
5,51,49,49,76,63,-1
5,23,67,54,42,29,0
5,49,47,69,73,41,4
5,63,43,30,73,28,4
5,24,58,32,59,71,0
5,45,67,57,45,63,-1
5,20,51,80,16,31,3
5,30,52,49,58,81,0
5,22,65,71,38,74,0
5,45,45,62,70,50,-1
5,28,24,47,16,68,3
5,29,72,58,39,52,0
5,79,19,15,36,52,2
5,4,30,34,66,66,0
5,25,25,67,37,22,4
5,65,57,67,50,63,3
5,46,69,64,44,26,4
5,60,57,69,50,67,3
5,52,23,51,59,75,1
5,55,63,46,73,23,4
5,27,22,87,50,30,1
5,35,24,51,67,50,1
5,30,65,63,40,77,0
5,47,73,58,46,44,4
5,14,50,51,43,68,0
5,8,26,62,74,43,0
5,50,34,63,68,29,4
5,16,37,46,71,16,-1
5,35,34,63,42,68,1
5,60,57,54,58,67,2
5,60,29,68,48,30,1
5,69,68,35,44,35,-1
5,63,75,70,45,24,4
5,65,24,69,34,37,1
5,14,51,29,74,41,0
5,13,73,52,53,37,0
5,27,43,41,28,75,0
5,50,51,46,45,66,3
5,20,79,64,48,46,0
5,34,42,19,66,74,2
5,24,42,61,64,71,0
5,40,55,55,30,72,3
5,32,34,36,74,32,-1
5,76,45,59,41,35,4
5,33,72,33,41,55,-1
5,65,45,72,56,72,1
5,12,54,44,29,74,0
5,20,36,58,32,74,0
5,27,15,26,80,33,1
5,37,39,40,67,44,0
5,68,43,42,54,47,2
5,34,55,69,32,56,3
5,60,57,66,56,56,-1
5,50,54,19,25,74,2
5,34,26,58,72,44,1
5,51,40,71,64,28,4
5,73,36,49,32,30,4
5,32,69,54,45,26,4
5,34,66,75,38,53,0
5,35,73,64,31,35,3
5,38,51,33,70,49,2
5,46,51,60,62,92,0
5,3,12,78,5,44,0
5,35,53,15,55,69,2
5,74,54,53,43,27,4
5,40,27,74,36,21,4
5,27,39,60,78,43,0
5,59,38,72,51,31,4
5,30,55,30,29,71,3
5,28,68,25,57,62,2
5,26,54,35,66,45,0
5,54,31,66,54,37,1
5,36,74,49,72,43,0
5,26,40,34,66,65,0
5,31,9,32,68,28,1
5,39,43,72,34,25,4
5,49,61,69,76,54,0
5,51,67,58,53,17,4
5,67,64,57,33,20,4
5,34,61,26,48,75,2
5,24,50,32,62,80,0
5,33,70,45,41,45,0
5,68,40,21,13,49,3
5,22,68,48,29,16,4
5,20,21,47,61,72,0
5,43,30,68,43,50,1
5,20,34,67,52,49,0
